ID	Descrição	Receita	Dispesa	Ano	ID_Instituto
1	Auxílio financeiro a estudantes	133632,53	133632,53	2015	1
2	Auxílio Financeiro a Estudantes			2015	2
3				2015	3
4	Médicos residentes		5298836	2015	4
5				2015	5
6	Programa apoio incentivo ensino graduação	130296	172470,88	2015	6
7				2015	7
8	Programa de apoio às atividades estudantis extracurriculares	152470	21751,18	2015	8
9	Programa de apoio à qualidade, produtividade e ao ensino de graduação	350032,92		2015	9
10	Progrma de Apoio e Incentivo a Graduação	240038,84	231969,41	2015	10
11	Programa de Apoio às atividades estudantis extracurriculares	21080	13915,88	2015	11
12	Auxílio Financero a Estudantes	19440	29596,5	2015	12
13				2015	13
14	Auxilio financeiro a Estudantes	10700		2015	14
15				2015	15
16				2015	16
17				2015	17
