ID	Descrição	Receita	Dispesa	Ano	ID_Instituto
1	Estágiários diretamente contratados			2015	1
2	Estagiários Diretamente Contratados	11871	18057,84	2015	2
3	Estagiários		75408,48	2015	3
4	Estagiátios do CCI	300520,08		2015	4
5	Estagiários Contrados/Transporte	237026,97	18395,28	2015	5
6				2015	6
7	Estagiários	70014,84	70014,84	2015	7
8				2015	8
9	Pagamento de estágiarios ao longo do ano		103336,19	2015	9
10	Estagiários	11470,54	11470,54	2015	10
11	Estagiários	88127	162871,64	2015	11
12				2015	12
13	Estagiários	36753,64	37886.85	2015	13
14				2015	14
15				2015	15
16	Estagiários	79804,78	69804,78	2015	16
17				2015	17
