ID_Instituto	Nome	Sigla	Campus
1	Colégio Técnico de Limeira	COTIL	Limeira
2	Instituto de Matemática Estástica e Computação Científica	IMECC	Campinas
3	Instituto de Geociências	IG	Campinas
4	Faculdade Ciências Médicas	FCM	Campinas
5	Instituto de Física "Gleb Wataghin"	IFGW	Campinas
6	Faculdade de Engenharia de Alimentos	FEA	Campinas
7	Instituto de Filosofia e de Ciências Humanas	IFCH	Campinas
8	Faculdade de engenharia agrícola	FEAGRI	Campinas
9	Instituto de Estudos da Linguagem	IEL	Campinas
10	Instituto de Biologia	IB	Campinas
11	Faculdade de Engenharia Civil, Arquitetura e Urbanismo	FEC	Campinas
12	Faculdade de Engenharia Química	FEQ	Campinas
13	Faculdade de Engenharia Elétrica e Computação	FEEC	Campinas
14	Faculdade de Enfermagem	FENF	Campinas
15	Faculdade de Engenharia Mecânica	FEM	Campinas
16	Instituto de Química	IQ	Campinas
17	Instituto de Computação	IC	Campinas
