ID	Descrição	Receita	Dispesa	Ano	ID_Instituto
1	Execução de Obras e Instalações			2015	1
2	Reforma de Imóveis	131772,8	286318,55	2015	2
3	Manutenção Predial	97006	51338,14	2015	3
4	Projetos Especiais (obra prédio medicina translacional)	278594,98		2015	4
5	Reformas do IFGW	1050270,4	570209,55	2015	5
6				2015	6
7				2015	7
8	Programa de recuperação e instalação dos laboratórios de pesquisa	0	41457,34	2015	8
9				2015	9
10	Serviços de Manutenção locação em geral	101391,72	97685,48	2015	10
11	Serviços de manutenção/locação em geral	142861	142861	2015	11
12				2015	12
13				2015	13
14	Obras e Instalações			2015	14
15	Manutenção predial e outros serviços em geral		376138,92	2015	15
16				2015	16
17			51024,95	2015	17
