ID	Descrição	Receita	Dispesa	Ano	ID_Instituto
1	Serviços de Limpeza	269030	269030	2015	1
2	Serviços de Limpeza	301861,94	301861,94	2015	2
3	Serviços de Limpeza		256866,94	2015	3
4	Serviços de Limpeza	1673553		2015	4
5	Serviços Limpeza	711541	711541	2015	5
6	Serviços de Limpeza		709359,5	2015	6
7				2015	7
8	Serviços de Limpeza	345846	500892	2015	8
9				2015	9
10	Serviços de Limpeza	806287,04	806287,04	2015	10
11	Serviços de Limpeza	388077	467247,78	2015	11
12	Serviços de Limpeza	398866	401988,5	2015	12
13				2015	13
14	Serviços de Limpeza	86108	80411,4	2015	14
15				2015	15
16	Serviço de Limpeza	956544,28		2015	16
17				2015	17
